IMAGE       STARS       GALAXIES    COSMIC_RAYS BAD_PIXELS  BPX_IMAGE            %_CHANGE    EXPTIME     SKY                  RMS                 
95          13          624         10203       0           None                 0.0         700         2.792526803190927    0.06544617296358035 
96          13          624         10203       0           None                 0.0         700         3.141592653589793    0.06915104522817196 
97          13          624         11660       0           None                 0.0         800         0.6283185307179586   0.031786760819521205
98          13          624         11660       0           None                 0.0         800         0.7853981633974483   0.03473827434180936 
99          13          624         11659       0           None                 0.0         800         0.8975979010256552   0.0367014628629714  
100         13          624         11660       0           None                 0.0         800         1.0471975511965976   0.03916627297810895 
101         13          624         11659       0           None                 0.0         800         1.2566370614359172   0.04237683714949591 
102         13          624         11660       0           None                 0.0         800         1.3962634015954636   0.04438839095973551 
103         13          624         11660       0           None                 0.0         800         1.5707963267948966   0.046781357488786285
104         13          624         11660       0           None                 0.0         800         1.7951958020513104   0.0496889801924344  
105         13          624         11660       0           None                 0.0         800         2.0943951023931953   0.05331973253863427 
106         13          624         11659       0           None                 0.0         800         2.5132741228718345   0.05802234615723319 
107         13          624         11660       0           None                 0.0         800         2.792526803190927    0.06095620152198346 
108         13          624         11660       0           None                 0.0         800         3.141592653589793    0.0644359435174751  
109         13          624         13118       0           None                 0.0         900         0.6283185307179586   0.029595767916638177
110         13          624         13118       0           None                 0.0         900         0.7853981633974483   0.03241052921158404 
111         13          624         13118       0           None                 0.0         900         0.8975979010256552   0.03427985966886963 
112         13          624         13114       0           None                 0.0         900         1.0471975511965976   0.0366241807067498  
113         13          624         13118       0           None                 0.0         900         1.2566370614359172   0.039674187822477745
114         13          624         13117       0           None                 0.0         900         1.3962634015954636   0.04158342887892114 
115         13          624         13118       0           None                 0.0         900         1.5707963267948966   0.04385324423314776 
116         13          624         13118       0           None                 0.0         900         1.7951958020513104   0.04660943874428238 
117         13          624         13118       0           None                 0.0         900         2.0943951023931953   0.05004881064624364 
118         13          624         13118       0           None                 0.0         900         2.5132741228718345   0.05450050074053178 
119         13          624         13118       0           None                 0.0         900         2.792526803190927    0.05727639423775565 
120         13          624         13118       0           None                 0.0         900         3.141592653589793    0.060567617435114914
121         13          624         16032       0           None                 0.0         1100        0.6283185307179586   0.0262717895993376  
122         13          624         16033       0           None                 0.0         1100        0.7853981633974483   0.02886185362765404 
123         13          624         16033       0           None                 0.0         1100        0.8975979010256552   0.030577873639354238
124         13          624         16032       0           None                 0.0         1100        1.0471975511965976   0.03272622859844835 
125         13          624         16033       0           None                 0.0         1100        1.2566370614359172   0.03551627222895044 
126         13          624         16033       0           None                 0.0         1100        1.3962634015954636   0.03726041638991163 
127         13          624         16033       0           None                 0.0         1100        1.5707963267948966   0.03933198348908231 
128         13          624         16033       0           None                 0.0         1100        1.7951958020513104   0.04184500505610938 
129         13          624         16033       0           None                 0.0         1100        2.0943951023931953   0.044977814665599164
130         13          624         16033       0           None                 0.0         1100        2.5132741228718345   0.0490285928986242  
131         13          624         16033       0           None                 0.0         1100        2.792526803190927    0.05155258475223507 
132         13          624         16033       0           None                 0.0         1100        3.141592653589793    0.05454357511117213 
133         13          624         18977       0           None                 0.0         1302        0.6283185307179586   0.023822784164748544
134         13          624         18976       0           None                 0.0         1302        0.7853981633974483   0.026232993053220383
135         13          624         18976       0           None                 0.0         1302        0.8975979010256552   0.027827052273340917
136         13          624         18977       0           None                 0.0         1302        1.0471975511965976   0.029820206624823493
137         13          624         18976       0           None                 0.0         1302        1.2566370614359172   0.03240531687918904 
138         13          624         18977       0           None                 0.0         1302        1.3962634015954636   0.0340197656464049  
139         13          624         18977       0           None                 0.0         1302        1.5707963267948966   0.03593597529469436 
140         13          624         18977       0           None                 0.0         1302        1.7951958020513104   0.038258909390712664
141         13          624         18977       0           None                 0.0         1302        2.0943951023931953   0.04115269028404583 
142         13          624         18977       0           None                 0.0         1302        2.5132741228718345   0.04489168737529893 
143         13          624         18976       0           None                 0.0         1302        2.792526803190927    0.04722015862524065 
144         13          624         18977       0           None                 0.0         1302        3.141592653589793    0.04997842646664691 
